Frame,J0,J1,J2,J3,J4,J5,J6
0,1.6684045,-0.7730321,-2.020638,-2.6644282,-1.4719836,2.458772,1.8989067,3.3959357e-06,3.39208e-06
1,1.668433,-0.7730188,-2.0205605,-2.6644108,-1.4719993,2.4586825,1.8989509,3.3907238e-06,3.4203622e-06
2,1.6684448,-0.7730193,-2.0204906,-2.664401,-1.4720327,2.4586325,1.8989505,3.3913961e-06,3.4133948e-06
3,1.6684369,-0.7730326,-2.0204294,-2.6643965,-1.4720708,2.4586024,1.8989319,3.3921765e-06,3.4131135e-06
4,1.668345,-0.77314436,-2.0205405,-2.6644158,-1.472067,2.4585996,1.8989317,3.3958793e-06,3.3920235e-06
5,1.6683149,-0.7731675,-2.020479,-2.6644118,-1.4721038,2.4585838,1.8989074,3.392015e-06,3.4180428e-06
6,1.6683525,-0.77315307,-2.020403,-2.664397,-1.4721217,2.4584947,1.8989527,3.3910305e-06,3.4148775e-06
7,1.6683459,-0.7731666,-2.0203424,-2.6643925,-1.4721599,2.4584641,1.898937,3.3928e-06,3.4133345e-06
8,1.6682539,-0.77327836,-2.0204535,-2.6644118,-1.472156,2.4584613,1.8989369,3.3956285e-06,3.3917738e-06
9,1.6682237,-0.7733026,-2.0203931,-2.664408,-1.4721936,2.4584472,1.8989124,3.3921526e-06,3.41788e-06
10,1.6682605,-0.77328914,-2.020318,-2.6643934,-1.4722117,2.458358,1.8989588,3.3922756e-06,3.4158165e-06
11,1.6681706,-0.7734002,-2.0204287,-2.6644132,-1.472208,2.4583552,1.8989587,3.395778e-06,3.3919011e-06
12,1.6681439,-0.7734214,-2.0203657,-2.6644084,-1.4722425,2.458337,1.898939,3.391728e-06,3.4183006e-06
13,1.6681818,-0.77340627,-2.020287,-2.6643927,-1.4722607,2.458248,1.8989846,3.3917706e-06,3.4156003e-06
14,1.6681705,-0.7734229,-2.0202267,-2.6643887,-1.4723003,2.4582233,1.8989612,3.3915494e-06,3.4122143e-06
15,1.6680782,-0.7735348,-2.0203378,-2.664408,-1.4722965,2.4582205,1.898961,3.3947076e-06,3.3909837e-06
16,1.6680511,-0.77355677,-2.0202756,-2.6644034,-1.4723309,2.4582016,1.8989419,3.389454e-06,3.4159107e-06
17,1.6680888,-0.7735423,-2.0201995,-2.664388,-1.4723487,2.4581125,1.8989885,3.3903132e-06,3.4139161e-06
18,1.6679991,-0.77365327,-2.0203102,-2.6644077,-1.472345,2.4581096,1.8989885,3.3940212e-06,3.3901194e-06
19,1.6679728,-0.77367353,-2.0202465,-2.6644022,-1.4723787,2.4580903,1.8989718,3.3889817e-06,3.4155912e-06
20,1.6680108,-0.77365816,-2.0201674,-2.664386,-1.4723971,2.4580014,1.8990165,3.3905274e-06,3.414365e-06
21,1.6679989,-0.77367496,-2.0201066,-2.664382,-1.472438,2.4579802,1.8989922,3.3911224e-06,3.4116545e-06
22,1.6679068,-0.77378684,-2.0202177,-2.664401,-1.4724342,2.4579773,1.898992,3.3945748e-06,3.3908025e-06
23,1.6678804,-0.77380794,-2.0201547,-2.6643958,-1.4724668,2.4579573,1.8989763,3.390296e-06,3.4167851e-06
